19:42:21,214 | EURUSD | Vadim | LMAX | 1.05533 | 1.05541 | 0 | -7.9999999999858E-05
19:42:21,215 | EURUSD | LMAX | Vadim | 1.05537 | 1.05541 | 0 | -4.000000000004E-05
19:42:22,373 | EURUSD | Vladyslav Amidamarru | LMAX | 1.05534 | 1.05541 | 0 | -7.00000000000145E-05
19:42:22,381 | EURUSD | LMAX | Vladyslav Amidamarru | 1.05537 | 1.05541 | 0 | -4.000000000004E-05
19:42:22,890 | EURUSD | Vladyslav Amidamarru | LMAX | 1.05533 | 1.05541 | 0 | -7.9999999999858E-05
19:42:22,891 | EURUSD | LMAX | Vladyslav Amidamarru | 1.05537 | 1.05541 | 0 | -4.000000000004E-05
19:42:22,935 | EURUSD | Vadim | LMAX | 1.05532 | 1.05541 | 0 | -8.99999999999235E-05
19:42:22,935 | EURUSD | LMAX | Vadim | 1.05537 | 1.05541 | 0 | -4.000000000004E-05
19:42:23,030 | EURUSD | Vladyslav Amidamarru | LMAX | 1.05537 | 1.05541 | 0 | -4.000000000004E-05
19:42:23,030 | EURUSD | LMAX | Vladyslav Amidamarru | 1.05537 | 1.05538 | 0 | -1.00000000000655E-05
19:42:23,201 | EURUSD | Vladyslav Amidamarru | LMAX | 1.05534 | 1.05541 | 0 | -7.00000000000145E-05
19:42:23,201 | EURUSD | LMAX | Vladyslav Amidamarru | 1.05537 | 1.05542 | 0 | -5.00000000001055E-05
19:42:23,344 | EURUSD | Vladyslav Amidamarru | LMAX | 1.05537 | 1.05541 | 0 | -4.000000000004E-05
19:42:23,344 | EURUSD | LMAX | Vladyslav Amidamarru | 1.05537 | 1.05538 | 0 | -1.00000000000655E-05
19:42:24,094 | EURUSD | Vladyslav Amidamarru | LMAX | 1.05533 | 1.05541 | 0 | -7.9999999999858E-05
19:42:24,094 | EURUSD | LMAX | Vladyslav Amidamarru | 1.05537 | 1.05542 | 0 | -5.00000000001055E-05
19:42:24,125 | EURUSD | Vladyslav Amidamarru | LMAX | 1.05536 | 1.05541 | 0 | -4.99999999998835E-05
19:42:24,126 | EURUSD | LMAX | Vladyslav Amidamarru | 1.05537 | 1.05538 | 0 | -1.00000000000655E-05
19:42:25,326 | EURUSD | Vladyslav Amidamarru | LMAX | 1.05534 | 1.05541 | 0 | -7.00000000000145E-05
19:42:25,327 | EURUSD | LMAX | Vladyslav Amidamarru | 1.05537 | 1.05542 | 0 | -5.00000000001055E-05
19:42:25,374 | EURUSD | Vladyslav Amidamarru | LMAX | 1.05537 | 1.05541 | 0 | -4.000000000004E-05
19:42:25,375 | EURUSD | LMAX | Vladyslav Amidamarru | 1.05537 | 1.05538 | 0 | -1.00000000000655E-05
19:47:03,570 | EURUSD | Vladyslav Amidamarru | LMAX | 1.0553 | 1.05531 | 0 | -1.00000000000655E-05
19:47:03,571 | EURUSD | LMAX | Vladyslav Amidamarru | 1.05527 | 1.05531 | 0 | -4.000000000004E-05
19:47:04,928 | EURUSD | Vladyslav Amidamarru | LMAX | 1.05527 | 1.05531 | 0 | -4.000000000004E-05
19:47:04,929 | EURUSD | LMAX | Vladyslav Amidamarru | 1.05527 | 1.05534 | 0 | -7.00000000000145E-05
19:47:05,273 | EURUSD | Vladyslav Amidamarru | LMAX | 1.05533 | 1.05531 | 0 | 2.0000000000131E-05
19:47:05,274 | EURUSD | LMAX | Vladyslav Amidamarru | 1.05527 | 1.0554 | 0 | -0.000129999999999963
19:47:05,286 | EURUSD | Vadim | LMAX | 1.05526 | 1.05531 | 0 | -4.99999999998835E-05
19:47:05,287 | EURUSD | LMAX | Vadim | 1.05527 | 1.05535 | 0 | -8.000000000008E-05
19:47:05,302 | EURUSD | Vladyslav Amidamarru | LMAX | 1.05536 | 1.05531 | 0 | 5.00000000001055E-05
19:47:05,302 | EURUSD | LMAX | Vladyslav Amidamarru | 1.05527 | 1.05537 | 0 | -9.9999999999989E-05
19:47:05,318 | EURUSD | Vadim | LMAX | 1.05526 | 1.05531 | 0 | -4.99999999998835E-05
19:47:05,319 | EURUSD | LMAX | Vadim | 1.05527 | 1.05536 | 0 | -9.00000000001455E-05
19:47:05,380 | EURUSD | Vadim | LMAX | 1.05529 | 1.05531 | 0 | -1.9999999999909E-05
19:47:05,381 | EURUSD | LMAX | Vadim | 1.05527 | 1.05537 | 0 | -9.9999999999989E-05
19:47:05,445 | EURUSD | Vladyslav Amidamarru | LMAX | 1.05535 | 1.05531 | 0 | 4.000000000004E-05
19:47:05,446 | EURUSD | LMAX | Vladyslav Amidamarru | 1.05527 | 1.05536 | 0 | -9.00000000001455E-05
19:47:05,475 | EURUSD | Vadim | LMAX | 1.05529 | 1.05531 | 0 | -1.9999999999909E-05
19:47:05,476 | EURUSD | LMAX | Vadim | 1.05527 | 1.05538 | 0 | -0.000110000000000054
19:47:05,632 | EURUSD | LMAX | Vadim | 1.05527 | 1.05538 | 0 | -0.000110000000000054
19:47:05,819 | EURUSD | LMAX | Vadim | 1.05527 | 1.05539 | 0 | -0.00012000000000012
19:47:06,381 | EURUSD | Vladyslav Amidamarru | LMAX | 1.05532 | 1.05531 | 0 | 1.00000000000655E-05
19:47:06,381 | EURUSD | LMAX | Vladyslav Amidamarru | 1.05527 | 1.05539 | 0 | -0.00012000000000012
19:47:08,918 | EURUSD | LMAX | Vladyslav Amidamarru | 1.05527 | 1.05538 | 0 | -0.000110000000000054
19:47:09,036 | EURUSD | LMAX | Vadim | 1.05527 | 1.05538 | 0 | -0.000110000000000054
19:47:09,037 | EURUSD | Vladyslav Amidamarru | LMAX | 1.05534 | 1.05531 | 0 | 2.99999999999745E-05
19:47:09,038 | EURUSD | LMAX | Vladyslav Amidamarru | 1.05527 | 1.05535 | 0 | -8.000000000008E-05
19:47:09,163 | EURUSD | Vadim | LMAX | 1.0553 | 1.05531 | 0 | -1.00000000000655E-05
19:47:09,164 | EURUSD | LMAX | Vadim | 1.05527 | 1.05537 | 0 | -9.9999999999989E-05
19:47:09,819 | EURUSD | Vladyslav Amidamarru | LMAX | 1.0553 | 1.05531 | 0 | -1.00000000000655E-05
19:47:09,819 | EURUSD | LMAX | Vladyslav Amidamarru | 1.05527 | 1.05537 | 0 | -9.9999999999989E-05
19:47:10,630 | EURUSD | Vadim | LMAX | 1.0553 | 1.05531 | 0 | -1.00000000000655E-05
19:47:10,631 | EURUSD | LMAX | Vadim | 1.05527 | 1.05538 | 0 | -0.000110000000000054
19:47:11,210 | EURUSD | Vadim | LMAX | 1.05529 | 1.05531 | 0 | -1.9999999999909E-05
19:47:11,210 | EURUSD | LMAX | Vadim | 1.05527 | 1.05537 | 0 | -9.9999999999989E-05
19:47:18,414 | EURUSD | Vladyslav Amidamarru | LMAX | 1.05532 | 1.05531 | 0 | 1.00000000000655E-05
19:47:18,414 | EURUSD | LMAX | Vladyslav Amidamarru | 1.05527 | 1.05539 | 0 | -0.00012000000000012
19:47:18,435 | EURUSD | Vladyslav Amidamarru | LMAX | 1.05535 | 1.05531 | 0 | 4.000000000004E-05
19:47:18,436 | EURUSD | LMAX | Vladyslav Amidamarru | 1.05527 | 1.05536 | 0 | -9.00000000001455E-05
19:47:18,569 | EURUSD | LMAX | Vadim | 1.05527 | 1.05539 | 0 | -0.00012000000000012
19:47:18,602 | EURUSD | Vladyslav Amidamarru | LMAX | 1.05537 | 1.05531 | 0 | 5.9999999999949E-05
19:47:18,602 | EURUSD | LMAX | Vladyslav Amidamarru | 1.05527 | 1.05538 | 0 | -0.000110000000000054
19:47:18,694 | EURUSD | Vadim | LMAX | 1.05533 | 1.05531 | 0 | 2.0000000000131E-05
19:47:18,695 | EURUSD | LMAX | Vadim | 1.05527 | 1.05541 | 0 | -0.000140000000000029
19:47:19,196 | EURUSD | Vladyslav Amidamarru | LMAX | 1.05535 | 1.05531 | 0 | 4.000000000004E-05
19:47:19,196 | EURUSD | Vadim | LMAX | 1.05533 | 1.05531 | 0 | 2.0000000000131E-05
19:47:19,206 | EURUSD | LMAX | Vladyslav Amidamarru | 1.05527 | 1.05542 | 0 | -0.000150000000000095
19:47:19,206 | EURUSD | LMAX | Vadim | 1.05527 | 1.05542 | 0 | -0.000150000000000095
19:47:19,215 | EURUSD | Vladyslav Amidamarru | LMAX | 1.05538 | 1.05531 | 0 | 7.00000000000145E-05
19:47:19,216 | EURUSD | LMAX | Vladyslav Amidamarru | 1.05527 | 1.05539 | 0 | -0.00012000000000012
19:47:19,287 | EURUSD | Vadim | LMAX | 1.05535 | 1.05531 | 0 | 4.000000000004E-05
19:47:19,288 | EURUSD | LMAX | Vadim | 1.05527 | 1.05542 | 0 | -0.000150000000000095
19:47:19,305 | EURUSD | Vladyslav Amidamarru | LMAX | 1.05536 | 1.05531 | 0 | 5.00000000001055E-05
19:47:19,306 | EURUSD | LMAX | Vladyslav Amidamarru | 1.05527 | 1.05544 | 0 | -0.000170000000000003
19:47:19,370 | EURUSD | Vladyslav Amidamarru | LMAX | 1.05539 | 1.05531 | 0 | 8.000000000008E-05
19:47:19,371 | EURUSD | LMAX | Vladyslav Amidamarru | 1.05527 | 1.0554 | 0 | -0.000129999999999963
19:47:19,413 | EURUSD | Vadim | LMAX | 1.05535 | 1.05531 | 0 | 4.000000000004E-05
19:47:19,413 | EURUSD | LMAX | Vadim | 1.05527 | 1.05543 | 0 | -0.00016000000000016
19:47:19,538 | EURUSD | Vadim | LMAX | 1.05535 | 1.05531 | 0 | 4.000000000004E-05
19:47:19,539 | EURUSD | LMAX | Vadim | 1.05527 | 1.05544 | 0 | -0.000170000000000003
19:47:19,586 | EURUSD | Vladyslav Amidamarru | LMAX | 1.05536 | 1.05531 | 0 | 5.00000000001055E-05
19:47:19,587 | EURUSD | LMAX | Vladyslav Amidamarru | 1.05527 | 1.05543 | 0 | -0.00016000000000016
19:47:19,600 | EURUSD | Vadim | LMAX | 1.05536 | 1.05531 | 0 | 5.00000000001055E-05
19:47:19,601 | EURUSD | LMAX | Vadim | 1.05527 | 1.05544 | 0 | -0.000170000000000003
19:47:19,681 | EURUSD | Vladyslav Amidamarru | LMAX | 1.05539 | 1.05531 | 0 | 8.000000000008E-05
19:47:19,682 | EURUSD | LMAX | Vladyslav Amidamarru | 1.05527 | 1.0554 | 0 | -0.000129999999999963
