16:38:31,296 | INFO  | 26015101 | CREATE CONNECTOR
16:38:31,297 | INFO  | 26015101 | START CLIENT
16:38:32,666 | INFO  | 26015101 | CONNECTED
16:38:32,668 | INFO  | Observer | ADD FAST BROKER 26015101
16:38:32,669 | INFO  | 26015101 | SUBSCRIBE [Pair: EURUSD]
16:38:32,670 | INFO  | 26015101 | SUBSCRIBE [Pair: GBPUSD]
16:38:32,671 | INFO  | 26015101 | SUBSCRIBE [Pair: USDJPY]
16:38:32,675 | INFO  | 166666 | CREATE CONNECTOR
16:38:32,676 | INFO  | 166666 | START CLIENT
16:38:33,981 | INFO  | 166666 | CONNECTED
16:38:33,981 | INFO  | Observer | ADD SLOW BROKER 166666
16:38:33,982 | INFO  | 166666 | SUBSCRIBE [Pair: EURUSD]
16:38:33,982 | INFO  | 166666 | SUBSCRIBE [Pair: GBPUSD]
16:38:33,983 | INFO  | 166666 | SUBSCRIBE [Pair: USDJPY]
16:38:33,990 | INFO  | FixLMAXBrokerConnector | Starting LMAX FIX connector
16:38:34,132 | INFO  | Observer | ADD FAST BROKER LMAX
16:38:34,340 | INFO  | FixLMAXBrokerConnector | Logon
16:38:34,343 | INFO  | FixLMAXBrokerConnector.Subscribe | Subscribing to EURUSD
16:38:34,347 | INFO  | FixLMAXBrokerConnector.Subscribe | Subscribing to GBPUSD
16:38:34,349 | INFO  | FixLMAXBrokerConnector.Subscribe | Subscribing to USDJPY
16:49:58,992 | INFO  | FixLMAXBrokerConnector | Stoping LMAX FIX connector
16:49:59,640 | INFO  | FixLMAXBrokerConnector | Logout
16:53:36,032 | INFO  | Config Loader | Loading config.json
16:53:36,116 | INFO  | Config Loader | READ EURUSD, Spread: 0
16:53:36,117 | INFO  | Config Loader | READ GBPUSD, Spread: 0
16:53:36,118 | INFO  | Config Loader | READ USDJPY, Spread: 0
16:53:36,118 | INFO  | Config Loader | config.json loaded
16:53:36,127 | INFO  | Observer | ADD [Pair: EURUSD, Spread: 0]
16:53:36,129 | INFO  | Observer | ADD [Pair: GBPUSD, Spread: 0]
16:53:36,130 | INFO  | Observer | ADD [Pair: USDJPY, Spread: 0]
16:53:36,137 | INFO  | 26015101 | CREATE CONNECTOR
16:53:36,139 | INFO  | 26015101 | START CLIENT
16:53:37,544 | INFO  | 26015101 | CONNECTED
16:53:37,546 | INFO  | Observer | ADD FAST BROKER 26015101
16:53:37,546 | INFO  | 26015101 | SUBSCRIBE [Pair: EURUSD]
16:53:37,547 | INFO  | 26015101 | SUBSCRIBE [Pair: GBPUSD]
16:53:37,548 | INFO  | 26015101 | SUBSCRIBE [Pair: USDJPY]
16:53:37,552 | INFO  | 166666 | CREATE CONNECTOR
16:53:37,553 | INFO  | 166666 | START CLIENT
16:53:38,989 | INFO  | 166666 | CONNECTED
16:53:38,989 | INFO  | Observer | ADD SLOW BROKER 166666
16:53:38,990 | INFO  | 166666 | SUBSCRIBE [Pair: EURUSD]
16:53:38,990 | INFO  | 166666 | SUBSCRIBE [Pair: GBPUSD]
16:53:38,991 | INFO  | 166666 | SUBSCRIBE [Pair: USDJPY]
16:53:38,998 | INFO  | FixLMAXBrokerConnector | Starting LMAX FIX connector
16:53:39,145 | INFO  | Observer | ADD FAST BROKER LMAX
16:53:39,479 | INFO  | FixLMAXBrokerConnector | Logon
16:53:39,483 | INFO  | FixLMAXBrokerConnector.Subscribe | Subscribing to EURUSD
16:53:39,487 | INFO  | FixLMAXBrokerConnector.Subscribe | Subscribing to GBPUSD
16:53:39,488 | INFO  | FixLMAXBrokerConnector.Subscribe | Subscribing to USDJPY
16:53:39,592 | ERROR | FixApplication | FromApp field not found for tag: 52
16:53:39,594 | ERROR | FixApplication | FromApp field not found for tag: 52
16:53:39,596 | ERROR | FixApplication | FromApp field not found for tag: 52
16:53:39,667 | ERROR | FixApplication | FromApp field not found for tag: 52
16:53:41,768 | ERROR | FixApplication | FromApp field not found for tag: 52
16:53:42,769 | ERROR | FixApplication | FromApp field not found for tag: 52
16:53:43,872 | ERROR | FixApplication | FromApp field not found for tag: 52
16:53:43,873 | ERROR | FixApplication | FromApp field not found for tag: 52
16:53:44,972 | ERROR | FixApplication | FromApp field not found for tag: 52
16:53:44,973 | ERROR | FixApplication | FromApp field not found for tag: 52
16:53:45,970 | ERROR | FixApplication | FromApp field not found for tag: 52
16:53:46,072 | ERROR | FixApplication | FromApp field not found for tag: 52
16:53:46,171 | ERROR | FixApplication | FromApp field not found for tag: 52
16:53:47,072 | ERROR | FixApplication | FromApp field not found for tag: 52
16:53:47,073 | ERROR | FixApplication | FromApp field not found for tag: 52
16:53:47,075 | ERROR | FixApplication | FromApp field not found for tag: 52
16:53:48,072 | ERROR | FixApplication | FromApp field not found for tag: 52
16:53:48,172 | ERROR | FixApplication | FromApp field not found for tag: 52
16:53:48,174 | ERROR | FixApplication | FromApp field not found for tag: 52
16:53:49,172 | ERROR | FixApplication | FromApp field not found for tag: 52
16:53:49,173 | ERROR | FixApplication | FromApp field not found for tag: 52
16:53:49,175 | ERROR | FixApplication | FromApp field not found for tag: 52
16:53:50,273 | ERROR | FixApplication | FromApp field not found for tag: 52
16:53:50,276 | ERROR | FixApplication | FromApp field not found for tag: 52
16:53:51,274 | ERROR | FixApplication | FromApp field not found for tag: 52
16:53:51,276 | ERROR | FixApplication | FromApp field not found for tag: 52
16:53:51,278 | ERROR | FixApplication | FromApp field not found for tag: 52
16:53:52,374 | ERROR | FixApplication | FromApp field not found for tag: 52
16:53:52,376 | ERROR | FixApplication | FromApp field not found for tag: 52
16:53:53,375 | ERROR | FixApplication | FromApp field not found for tag: 52
16:53:53,376 | ERROR | FixApplication | FromApp field not found for tag: 52
16:53:54,493 | ERROR | FixApplication | FromApp field not found for tag: 52
16:53:55,498 | ERROR | FixApplication | FromApp field not found for tag: 52
16:53:55,585 | ERROR | FixApplication | FromApp field not found for tag: 52
16:53:55,587 | ERROR | FixApplication | FromApp field not found for tag: 52
16:53:55,792 | INFO  | FixLMAXBrokerConnector | Stoping LMAX FIX connector
16:53:56,603 | ERROR | FixApplication | FromApp field not found for tag: 52
16:53:56,653 | INFO  | FixLMAXBrokerConnector | Logout
16:55:37,893 | INFO  | Config Loader | Loading config.json
16:55:37,976 | INFO  | Config Loader | READ EURUSD, Spread: 0
16:55:37,977 | INFO  | Config Loader | READ GBPUSD, Spread: 0
16:55:37,978 | INFO  | Config Loader | READ USDJPY, Spread: 0
16:55:37,978 | INFO  | Config Loader | config.json loaded
16:55:37,987 | INFO  | Observer | ADD [Pair: EURUSD, Spread: 0]
16:55:37,989 | INFO  | Observer | ADD [Pair: GBPUSD, Spread: 0]
16:55:37,990 | INFO  | Observer | ADD [Pair: USDJPY, Spread: 0]
16:55:37,994 | INFO  | 26015101 | CREATE CONNECTOR
16:55:37,995 | INFO  | 26015101 | START CLIENT
16:55:39,453 | INFO  | 26015101 | CONNECTED
16:55:39,455 | INFO  | Observer | ADD FAST BROKER 26015101
16:55:39,455 | INFO  | 26015101 | SUBSCRIBE [Pair: EURUSD]
16:55:39,456 | INFO  | 26015101 | SUBSCRIBE [Pair: GBPUSD]
16:55:39,457 | INFO  | 26015101 | SUBSCRIBE [Pair: USDJPY]
16:55:39,458 | INFO  | 166666 | CREATE CONNECTOR
16:55:39,458 | INFO  | 166666 | START CLIENT
16:55:40,937 | INFO  | 166666 | CONNECTED
16:55:40,937 | INFO  | Observer | ADD SLOW BROKER 166666
16:55:40,938 | INFO  | 166666 | SUBSCRIBE [Pair: EURUSD]
16:55:40,938 | INFO  | 166666 | SUBSCRIBE [Pair: GBPUSD]
16:55:40,939 | INFO  | 166666 | SUBSCRIBE [Pair: USDJPY]
16:55:40,946 | INFO  | FixLMAXBrokerConnector | Starting LMAX FIX connector
16:55:41,083 | INFO  | Observer | ADD FAST BROKER LMAX
16:55:41,269 | INFO  | FixLMAXBrokerConnector | Logon
16:55:41,273 | INFO  | FixLMAXBrokerConnector.Subscribe | Subscribing to EURUSD
16:55:41,276 | INFO  | FixLMAXBrokerConnector.Subscribe | Subscribing to GBPUSD
16:55:41,278 | INFO  | FixLMAXBrokerConnector.Subscribe | Subscribing to USDJPY
16:55:41,381 | ERROR | FixApplication | FromApp field not found for tag: 52
16:55:41,382 | ERROR | FixApplication | FromApp field not found for tag: 52
16:55:41,384 | ERROR | FixApplication | FromApp field not found for tag: 52
16:55:42,258 | ERROR | FixApplication | FromApp field not found for tag: 52
16:55:42,357 | ERROR | FixApplication | FromApp field not found for tag: 52
16:55:43,357 | ERROR | FixApplication | FromApp field not found for tag: 52
16:55:44,458 | ERROR | FixApplication | FromApp field not found for tag: 52
16:55:45,459 | ERROR | FixApplication | FromApp field not found for tag: 52
16:55:45,461 | ERROR | FixApplication | FromApp field not found for tag: 52
16:55:45,463 | ERROR | FixApplication | FromApp field not found for tag: 52
16:55:46,561 | ERROR | FixApplication | FromApp field not found for tag: 52
16:55:46,562 | ERROR | FixApplication | FromApp field not found for tag: 52
16:55:47,561 | ERROR | FixApplication | FromApp field not found for tag: 52
16:55:47,660 | ERROR | FixApplication | FromApp field not found for tag: 52
16:55:48,665 | ERROR | FixApplication | FromApp field not found for tag: 52
16:55:48,669 | ERROR | FixApplication | FromApp field not found for tag: 52
16:55:48,671 | ERROR | FixApplication | FromApp field not found for tag: 52
16:55:49,660 | ERROR | FixApplication | FromApp field not found for tag: 52
16:55:49,762 | ERROR | FixApplication | FromApp field not found for tag: 52
16:55:49,764 | ERROR | FixApplication | FromApp field not found for tag: 52
16:55:50,593 | INFO  | FixLMAXBrokerConnector | Stoping LMAX FIX connector
16:55:50,762 | ERROR | FixApplication | FromApp field not found for tag: 52
16:55:50,765 | ERROR | FixApplication | FromApp field not found for tag: 52
16:55:50,767 | ERROR | FixApplication | FromApp field not found for tag: 52
16:55:50,818 | INFO  | FixLMAXBrokerConnector | Logout
16:57:25,414 | INFO  | Config Loader | Loading config.json
