15:30:01,998 | INFO  | Config Loader | Loading config.json
15:30:02,087 | INFO  | Config Loader | READ EURUSD, Spread: 0.1
15:30:02,088 | INFO  | Config Loader | READ GBPUSD, Spread: 0.2
15:30:02,089 | INFO  | Config Loader | READ USDJPY, Spread: 0.3
15:30:02,089 | INFO  | Config Loader | config.json loaded
15:30:02,099 | INFO  | Observer | ADD [Pair: EURUSD, Spread: 0.1]
15:30:02,100 | INFO  | Observer | ADD [Pair: GBPUSD, Spread: 0.2]
15:30:02,101 | INFO  | Observer | ADD [Pair: USDJPY, Spread: 0.3]
15:30:02,107 | INFO  | 166666 | CREATE CONNECTOR
15:30:02,108 | INFO  | 166666 | START CLIENT
15:30:03,515 | INFO  | 166666 | CONNECTED
15:30:03,517 | INFO  | Observer | ADD FAST BROKER 166666
15:30:03,517 | INFO  | 166666 | SUBSCRIBE [Pair: EURUSD]
15:30:03,518 | INFO  | 166666 | SUBSCRIBE [Pair: GBPUSD]
15:30:03,518 | INFO  | 166666 | SUBSCRIBE [Pair: USDJPY]
15:30:03,520 | INFO  | 26015101 | CREATE CONNECTOR
15:30:03,520 | INFO  | 26015101 | START CLIENT
15:30:04,873 | INFO  | 26015101 | CONNECTED
15:30:04,873 | INFO  | Observer | ADD SLOW BROKER 26015101
15:30:04,873 | INFO  | 26015101 | SUBSCRIBE [Pair: EURUSD]
15:30:04,874 | INFO  | 26015101 | SUBSCRIBE [Pair: GBPUSD]
15:30:04,875 | INFO  | 26015101 | SUBSCRIBE [Pair: USDJPY]
15:30:04,881 | INFO  | FixLMAXBrokerConnector | Starting LMAX FIX connector
15:30:05,041 | INFO  | Observer | ADD FAST BROKER LMAX
15:30:09,904 | INFO  | FixLMAXBrokerConnector | Stoping LMAX FIX connector
15:30:25,891 | INFO  | Config Loader | Loading config.json
15:30:25,972 | INFO  | Config Loader | READ EURUSD, Spread: 0.1
15:30:25,973 | INFO  | Config Loader | READ GBPUSD, Spread: 0.2
15:30:25,974 | INFO  | Config Loader | READ USDJPY, Spread: 0.3
15:30:25,974 | INFO  | Config Loader | config.json loaded
15:30:25,983 | INFO  | Observer | ADD [Pair: EURUSD, Spread: 0.1]
15:30:25,984 | INFO  | Observer | ADD [Pair: GBPUSD, Spread: 0.2]
15:30:25,985 | INFO  | Observer | ADD [Pair: USDJPY, Spread: 0.3]
15:30:25,990 | INFO  | 166666 | CREATE CONNECTOR
15:30:25,991 | INFO  | 166666 | START CLIENT
15:30:27,471 | INFO  | 166666 | CONNECTED
15:30:27,473 | INFO  | Observer | ADD FAST BROKER 166666
15:30:27,473 | INFO  | 166666 | SUBSCRIBE [Pair: EURUSD]
15:30:27,474 | INFO  | 166666 | SUBSCRIBE [Pair: GBPUSD]
15:30:27,474 | INFO  | 166666 | SUBSCRIBE [Pair: USDJPY]
15:30:27,475 | INFO  | 26015101 | CREATE CONNECTOR
15:30:27,476 | INFO  | 26015101 | START CLIENT
15:30:28,761 | INFO  | 26015101 | CONNECTED
15:30:28,761 | INFO  | Observer | ADD SLOW BROKER 26015101
15:30:28,761 | INFO  | 26015101 | SUBSCRIBE [Pair: EURUSD]
15:30:28,762 | INFO  | 26015101 | SUBSCRIBE [Pair: GBPUSD]
15:30:28,763 | INFO  | 26015101 | SUBSCRIBE [Pair: USDJPY]
15:30:28,770 | INFO  | FixLMAXBrokerConnector | Starting LMAX FIX connector
15:30:28,906 | INFO  | Observer | ADD FAST BROKER LMAX
15:30:29,220 | INFO  | FixLMAXBrokerConnector | Logon
15:30:29,225 | INFO  | FixLMAXBrokerConnector.Subscribe | Subscribing to EURUSD
15:30:29,229 | INFO  | FixLMAXBrokerConnector.Subscribe | Subscribing to GBPUSD
15:30:29,231 | INFO  | FixLMAXBrokerConnector.Subscribe | Subscribing to USDJPY
15:33:35,069 | INFO  | FixLMAXBrokerConnector | Stoping LMAX FIX connector
15:33:35,561 | INFO  | FixLMAXBrokerConnector | Logout
15:33:56,410 | INFO  | Config Loader | Loading config.json
15:33:56,495 | INFO  | Config Loader | READ EURUSD, Spread: 0.001
15:33:56,496 | INFO  | Config Loader | READ GBPUSD, Spread: 0.001
15:33:56,497 | INFO  | Config Loader | READ USDJPY, Spread: 0.001
15:33:56,497 | INFO  | Config Loader | config.json loaded
15:33:56,506 | INFO  | Observer | ADD [Pair: EURUSD, Spread: 0.001]
15:33:56,508 | INFO  | Observer | ADD [Pair: GBPUSD, Spread: 0.001]
15:33:56,509 | INFO  | Observer | ADD [Pair: USDJPY, Spread: 0.001]
15:33:56,514 | INFO  | 166666 | CREATE CONNECTOR
15:33:56,515 | INFO  | 166666 | START CLIENT
15:33:57,902 | INFO  | 166666 | CONNECTED
15:33:57,904 | INFO  | Observer | ADD FAST BROKER 166666
15:33:57,904 | INFO  | 166666 | SUBSCRIBE [Pair: EURUSD]
15:33:57,905 | INFO  | 166666 | SUBSCRIBE [Pair: GBPUSD]
15:33:57,905 | INFO  | 166666 | SUBSCRIBE [Pair: USDJPY]
15:33:57,909 | INFO  | 26015101 | CREATE CONNECTOR
