Instrument Name,LMAX ID,LMAX symbol ,Contract Multiplier,Tick Size,Tick Value,Min Order Size,Effective Date,Expiry Date,Quoted CCY,Margin Rate (%),Position Threshold (Contracts),LMAX Trading Hours
XAG/AUD,100804,XAG/AUD,500,0.001,0.5,0.1,20/05/2013,,AUD,3,80,18:00 Sun - 17:00 Fri EST / EDT (except 17:00 - 18:00 daily)
XAU/AUD,100803,XAU/AUD,10,0.01,0.1,0.1,20/05/2013,,AUD,3,325,18:00 Sun - 17:00 Fri EST / EDT (except 17:00 - 18:00 daily)
XAU/EUR,100925,XAU/EUR,10,0.01,0.1,0.1,07/07/2014,,EUR,4,385,18:00 Sun - 17:00 Fri EST / EDT (except 17:00 - 18:00 daily)
XBN/USD,100936,XBN/USD,1,0.001,0.001,0.01,28/03/2018,,USD,50,135,"17:05 - 17:00 EST / EDT Daily (except 17:00 - 17:05 daily,05:00 - 12:00 on Saturday, and 00:00 - 4:30 on Sunday MT4 only )"
XBT/USD,100934,XBT/USD,1,0.01,0.01,0.01,28/02/2018,,USD,50,4,"17:05 - 17:00 EST / EDT Daily (except 17:00 - 17:05 daily,05:00 - 12:00 on Saturday, and 00:00 - 4:30 on Sunday MT4 only )"
XET/USD,100935,XET/USD,1,0.01,0.01,0.01,28/02/2018,,USD,50,195,"17:05 - 17:00 EST / EDT Daily (except 17:00 - 17:05 daily,05:00 - 12:00 on Saturday, and 00:00 - 4:30 on Sunday MT4 only )"
XLC/USD,100937,XLC/USD,1,0.001,0.001,0.01,28/03/2018,,USD,50,750,"17:05 - 17:00 EST / EDT Daily (except 17:00 - 17:05 daily,05:00 - 12:00 on Saturday, and 00:00 - 4:30 on Sunday MT4 only )"
XRP/USD,100938,XRP/USD,1,0.00001,0.00001,1,22/06/2021,,USD,50,75000,"17:05 - 17:00 EST / EDT Daily (except 17:00 - 17:05 daily,05:00 - 12:00 on Saturday, and 00:00 - 4:30 on Sunday MT4 only )"
XBN/JPY,100942,XBN/JPY,1,1,1,0.01,19/07/2019,,JPY,50,135,"17:05 - 17:00 EST / EDT Daily (except 17:00 - 17:05 daily,05:00 - 12:00 on Saturday, and 00:00 - 4:30 on Sunday MT4 only )"
XBT/JPY,100940,XBT/JPY,1,1,1,0.01,19/07/2019,,JPY,50,4,"17:05 - 17:00 EST / EDT Daily (except 17:00 - 17:05 daily,05:00 - 12:00 on Saturday, and 00:00 - 4:30 on Sunday MT4 only )"
XET/JPY,100941,XET/JPY,1,1,1,0.01,19/07/2019,,JPY,50,195,"17:05 - 17:00 EST / EDT Daily (except 17:00 - 17:05 daily,05:00 - 12:00 on Saturday, and 00:00 - 4:30 on Sunday MT4 only )"
XLC/JPY,100943,XLC/JPY,1,1,1,0.01,19/07/2019,,JPY,50,750,"17:05 - 17:00 EST / EDT Daily (except 17:00 - 17:05 daily,05:00 - 12:00 on Saturday, and 00:00 - 4:30 on Sunday MT4 only )"
XRP/JPY,100944,XRP/JPY,1,0.001,0.001,1,22/06/2021,,JPY,50,75000,"17:05 - 17:00 EST / EDT Daily (except 17:00 - 17:05 daily,05:00 - 12:00 on Saturday, and 00:00 - 4:30 on Sunday MT4 only )"
EUR/USD (weekend),4201,EUR/USDw,10000,0.00001,0.1,0.1,22/05/2020,,USD,1,200,"17:05 Fri - 17:00 Sun EST / EDT (except 17:00 - 17:05 on Saturday, and 00:00 - 4:30 on Sunday MT4 only )"
USD/JPY (weekend),4204,USD/JPYw,10000,0.001,10,0.1,22/05/2020,,JPY,1,200,"17:05 Fri - 17:00 Sun EST / EDT (except 17:00 - 17:05 on Saturday, and 00:00 - 4:30 on Sunday MT4 only )"
